SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
1,102003733,AB,AB,AB,AB,AB,AB,3,5,AB,AB,AB,4,12,8.0
2,102203002,5,AB,4,4,4,4,4,3,5,5,5,3,40,26.7
3,102203003,5,4,4,4,4,5,4,3,4,5,4,2,39,26.0
4,102203005,AB,AB,AB,AB,3,5,3,4,4,5,5,AB,29,19.3
5,102203007,AB,AB,AB,5,4,3,3,5,3,5,5,3,36,24.0
6,102203008,3,3,5,4,1,4,3,4,5,4,5,5,39,26.0
7,102203012,AB,3,4,4,3,5,4,5,4,5,4,5,40,26.7
8,102203013,5,2,4,5,4,2,3,2,5,5,5,2,38,25.3
9,102203014,5,3,4,5,2,5,2,3,5,5,4,4,40,26.7
10,102203015,5,3,AB,AB,3,3,5,4,5,5,4,AB,37,24.7
11,102203017,3,2,5,4,3,5,3,4,5,5,5,3,39,26.0
12,102203020,4,5,4,5,5,4,5,4,5,5,5,5,44,29.3
13,102203021,5,2,5,4,4,5,5,4,5,5,5,4,43,28.7
14,102203022,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
15,102203023,5,AB,AB,5,AB,AB,4,3,4,AB,4,4,29,19.3
16,102203025,5,2,5,4,2,5,3,4,4,5,5,4,41,27.3
17,102203026,5,3,4,3,1,2,5,3,3,3,2,1,31,20.7
18,102203028,4,2,4,5,4,4,4,4,5,4,5,AB,39,26.0
19,102203030,5,3,5,5,3,4,3,4,5,5,4,2,40,26.7
20,102203031,5,4,4,4,4,4,5,5,5,5,5,5,43,28.7
21,102203032,4,2,4,5,3,5,5,5,5,5,5,5,44,29.3
22,102203034,5,AB,4,4,3,4,1,4,5,5,4,5,40,26.7
23,102203035,5,2,4,5,2,4,3,4,5,AB,5,5,40,26.7
24,102203037,5,4,5,3,4,4,4,5,5,4,5,5,42,28.0
25,102203039,3,4,3,4,4,5,2,4,AB,5,AB,5,37,24.7
26,102203040,4,1,3,4,0,3,4,3,4,2,5,3,33,22.0
27,102203041,5,5,5,4,2,4,5,5,5,5,5,AB,44,29.3
28,102203042,4,AB,4,5,4,5,4,4,5,5,4,4,40,26.7
29,102203043,4,4,5,5,3,3,AB,4,3,5,4,5,39,26.0
30,102203045,4,4,AB,4,4,4,4,5,5,5,4,5,40,26.7
